chip_id,current_name,current_nameEn,current_description,status,proposed_name,proposed_nameEn,proposed_description,noun_rank,adjective_rank,notes
golfBall,ゴルフボール,Golf Ball,白いゴルフボール。固定ダメージアップ。,KEEP,白いゴルフボール,White Golf Ball,白いゴルフボール。固定ダメージアップ。,8000,-,Already has 白い (white)
shuttlecock,シャトル,Shuttlecock,バドミントンのシャトル。回避率アップ。,MODIFY,白いシャトル,White Shuttlecock,白いバドミントンのシャトル。回避率アップ。,8000,800,Added 白い (white) - standard color
jumpRope,縄跳び,Jump Rope,カラフルな縄跳び。AGIアップ。,KEEP,カラフルな縄跳び,Colorful Jump Rope,カラフルな縄跳び。AGIアップ。,7500,-,Already has カラフルな (colorful)
map,地図,Map,東京の地図。アイテム発見率アップ。,MODIFY,古い地図,Old Map,古い東京の地図。アイテム発見率アップ。,2500,800,Added 古い (old) - well-used for exploration
compassNav,方位磁石,Compass,方角を示すコンパス。LUKアップ。,MODIFY,古い方位磁石,Old Compass,古い方角を示すコンパス。LUKアップ。,6500,800,Added 古い (old) - reliable navigator
luggage,スーツケース,Luggage,旅行用スーツケース。インベントリ拡大。,MODIFY,大きいスーツケース,Large Luggage,大きい旅行用スーツケース。インベントリ拡大。,7000,300,Added 大きい (large) - more storage
passport,パスポート,Passport,日本国パスポート。報酬アップ。,MODIFY,古いパスポート,Old Passport,使い込んだ日本国パスポート。報酬アップ。,6500,800,Added 古い (old) - well-traveled
travelPillow,ネックピロー,Travel Pillow,首用の枕。部屋ごとに少し回復。,MODIFY,柔らかいネックピロー,Soft Travel Pillow,柔らかい首用の枕。部屋ごとに少し回復。,8000,1500,Added 柔らかい (soft) - comfortable
guidebook,ガイドブック,Guidebook,東京ガイドブック。ダメージアップ。,MODIFY,分厚いガイドブック,Thick Guidebook,分厚い東京ガイドブック。ダメージアップ。,8000,1500,Added 分厚い (thick) - comprehensive
album,アルバム,Album,写真アルバム。ON_HITチップで発動率アップ。,MODIFY,古いアルバム,Old Album,古い写真アルバム。ON_HITチップで発動率アップ。,5000,800,Added 古い (old) - nostalgic memories
tradingCards,トレカ,Trading Cards,レアカードコレクション。ON_EFFECTが強化。,KEEP,レアトレカ,Rare Trading Cards,レアカードコレクション。ON_EFFECTが強化。,8500,-,Already has レア (rare)
gachaFigure,ガチャフィギュア,Gacha Figure,カプセルトイ。チップ種類で総合強化。,MODIFY,小さいガチャフィギュア,Small Gacha Figure,小さいカプセルトイ。チップ種類で総合強化。,9500,500,Added 小さい (small) - capsule toy size
