rank,word,reading,vid,sid,part_of_speech,meanings
1054,得意,とくい,1454510,3967849502,adj-na; adj-no; n,satisfaction; pride; triumph; elation; one's strong point; one's forte; one's specialty; regular customer; regular client; patron
1055,本来,ほんらい,1523270,3955909151,adv; adj-no; n,originally; primarily; essentially; intrinsically; naturally; by nature; in (and of) itself; proper; rightful; legal; normal
1056,二度と,にどと,2110850,1347818520,adv,never again
1057,お話,おはなし,2581590,3195545533,n,story; tale; talk; discussion
1058,関わる,かかわる,1589880,1318975444,vi; v5; v5r,to be affected; to be influenced; to be concerned with; to have to do with; to stick to (opinions)
1059,成長,せいちょう,1375790,651044232,n; vs,"growth; development; growing up; becoming an adult; growth (of a company, the economy, etc.)"
1060,遅れる,おくれる,1589040,2099959741,vi; v1,"to be late; to be delayed; to fall behind schedule; to be overdue; to fall behind (in a race, one's studies, etc.); to lag behind; to be behind (the times); to be bereaved of; to be preceded by (someone) in death; to be slow (of a clock or watch)"
1061,時,じ,2020680,1953013670,suf; adj-no,hour; o'clock; (specified) time; when ...; during ...
1062,注意,ちゅうい,1426530,4080279989,n; vs,attention; notice; heed; care; caution; precaution; advice; warning; caution
1063,問う,とう,1536000,593217610,vt; v5; v5u-s,to ask; to inquire; to blame (someone) for; to accuse of; to pursue (question of responsibility); to charge with; to care about; to regard as important; to call into question; to doubt; to question
1064,計画,けいかく,1252090,4211459037,n; vs,plan; project; schedule; scheme; program; programme
1065,扱う,あつかう,1153440,863876671,vt; v5; v5u,to deal with (a person); to treat; to handle; to take care of; to entertain; to deal with (a problem); to handle; to manage; to operate (e.g. a machine); to handle; to work; to deal in; to sell; to cover (a topic); to treat; to discuss; to take up; to treat A as B; to mediate (an argument); to be too much for one; to find unmanageable; to gossip
1066,取れる,,,,,
1067,役,やく,1537970,1722232250,n,"role; assignment; responsibility; duty; function; job; service; position (of responsibility); post; office; part (in a play, film, etc.); role; character; scoring combination (in mahjong, card games, etc.); meld; hand; yaku"
1068,解決,かいけつ,1198960,2611619962,n; vs,settlement; solution; resolution
1069,混乱,こんらん,1290560,4267643715,n; vs,disorder; chaos; confusion; mayhem
1070,きり,,,,,
1071,直す,なおす,1599390,3032092316,vt; v5; v5s; aux-v,to cure; to heal; to fix; to correct; to repair; to do over again; to replace; to put back as it was; to convert (into a different state); to transform
1072,あんなに,あんなに,1981450,1814667578,adv,to that extent; to that degree; so much; so
1073,にしても,にしても,2026640,1243250876,exp,"even if; even though; even granting (that); even; too; also; whether ... or ...; no matter (what, where, who, etc.)"
1074,案内,あんない,1154860,2235750714,n; vs,guidance; leading (the way); showing around; information; notice; notification; announcement (of one's arrival); invitation; acquaintance; knowledge
1075,重ねる,かさねる,1335830,2894188223,vt; v1,to pile up; to heap up; to stack up; to put on top of another; to repeat many times over; to go through repeatedly; to accumulate
1076,ものがある,ものがある,2179460,3917296660,exp; v5; v5r-i,to be the case that
1077,事態,じたい,1595240,3669349434,n,situation; (present) state of affairs; circumstances
1078,行為,こうい,1281830,775766479,n,act; deed; conduct
1079,夏,なつ,1191320,1717612985,adv; n,summer
1080,その日,そのひ,2002320,2560730584,exp; n,that day; the very same day
1081,に向けて,にむけて,2644330,3518903953,exp,"towards (a destination); for the purpose of; with the goal of; targeting (a group, a demographic)"
1082,中心,ちゅうしん,1424550,3618249717,adj-no; n; suf,center; centre; middle; heart; core; focus; pivot; emphasis; balance; -centered; -centred; -focused; -oriented; centered on; focused on
1083,残り,のこり,1304480,476131139,adj-no; n,remnant; residue; remaining; left-over
1084,寒い,さむい,1210360,11763711,adj-i,cold (e.g. weather); uninteresting (esp. joke); lame; dull; weak; corny
1085,その中,そのなか,2755690,2764800829,exp,wherein; therein; thereinto
1086,型,かた,1250090,1716477635,n; suf,"model; type (e.g. of machine, goods, etc.); type; style; pattern; mold (mould); template; model; kata (standard form of a movement, posture, etc. in martial arts, sport, etc.); form (i.e. customary procedure); size (i.e. clothing, shoes); inch (in diagonal display size); (taxonomical) form"
1087,罪,つみ,1296680,1824786545,adj-na; adj-no; n,crime; sin; wrongdoing; indiscretion; penalty; sentence; punishment; fault; responsibility; culpability; thoughtlessness; lack of consideration
1088,展開,てんかい,1440600,4102254218,n; vs,development; evolution; progression; unfolding; (plot) twist; expansion; spreading out; extending; deployment; building up; expansion (of an algebraic expression); development (of a three-dimensional shape); extraction (of compressed data); decompression; unpacking
1089,量,りょう,1554640,2649927170,n; suf,quantity; amount; volume; capacity; portion (of food); generosity; magnanimity; tolerance; pramana; (in Indian philosophy) means by which one gains accurate and valid knowledge
1090,条件,じょうけん,1356510,1075608192,n,condition; term; requirement; qualification; prerequisite
1091,とともに,とともに,1008830,4145553567,exp,"together with; as X, then Y (e.g. as we age we gain wisdom, as wine matures it becomes more valuable, etc.)"
1092,いつまでも,いつまでも,1188880,81884087,adv,forever; for good; eternally; as long as one likes; indefinitely; no matter what
1093,左,ひだり,1290800,1721086025,adj-no; n,left; left hand side
1094,一切,いっさい,1164170,2062833899,adj-no; n; adv,all; everything; entirety; the whole; absolutely (not); (not) at all; (none) whatsoever; without exception
1095,結ぶ,むすぶ,1254670,3110010343,vt; v5; v5b,to tie; to bind; to link; to bear (fruit); to close (e.g. deal); to confirm; to conclude; to connect (two distant places); to close tightly; to purse (e.g. lips); to unite (with); to ally; to join hands
1096,というより,というより,2441160,2113571121,exp,rather than
1097,屋,や,2082160,1719967640,suf; n,shop; store; restaurant; somebody who sells (something) or works as (something); somebody with a (certain) personality trait; house; roof
1098,古い,ふるい,1265070,2410386557,adj-i,old; aged; ancient; antiquated; antique; timeworn; long; since long ago; time-honored; of the distant past; long-ago; stale; threadbare; hackneyed; corny; old-fashioned; outmoded; out-of-date
1099,迷惑,めいわく,1532800,1078435093,adj-na; n; vs,trouble; bother; annoyance; nuisance; inconvenience; to be troubled (by); to be bothered (by); to be inconvenienced (by)
1100,抑える,おさえる,2836285,3858252550,vt; v1,to keep within limits (e.g. spending); to restrain (e.g. emotions); to control; to curb; to hold in check; to hold back (e.g. an enemy); to check; to curb; to contain; to quell; to subdue; to suppress; to repress
1101,別れる,わかれる,1606590,1385655880,vi; v1,to part (usu. of people); to part from; to part with; to be apart from; to separate (of a couple); to break up; to divorce; to lose (e.g. one's mother); to be bereaved
1102,といい,といい,2844736,3198459191,exp,in terms of both ... and ...; from the perspective of ... as well as ...; whether it be ... or ...
1103,間違い,まちがい,1215320,342244536,n,mistake; error; blunder; accident; mishap; trouble; improper conduct (e.g. between man and woman); indiscretion
1104,楽しみ,たのしみ,1207250,3618709129,adj-na; n,enjoyment; pleasure; diversion; amusement; hobby; anticipation; looking forward to
1105,番,ばん,2022640,1829320985,n; suf,number (in a series); (one's) turn; watch; guard; lookout; rank; standing; position; bout; match; pieces (in a collection)
1106,日々,ひび,1602120,3040410833,adv; n,every day; daily; day after day; days (e.g. good old days)
1107,なお,なお,1349300,4283589301,adv; conj,still; yet; more; still more; greater; further; as ...; like ...; furthermore; in addition; moreover; note that ...
1108,研究,けんきゅう,1258520,822413804,n; vs,study; research; investigation
1109,頼る,たよる,1597200,4237396782,vi; vt; v5; v5r,to rely on; to depend on; to count on; to turn to (for help)
1110,ごと,ごと,1524640,616667213,adv; n; suf,each; every
1111,目立つ,めだつ,1535700,2506715734,vi; v5; v5t,to be conspicuous; to stand out
1112,苦労,くろう,1244680,2241833591,n; vs,trouble; hardship; difficulty; labour; labor; toil; pains; anxiety; worry; concern; cares
1113,間,かん,2067900,2652648095,n; suf; adv,interval; period of time; among; between; inter-; good opportunity; chance; estrangement; discord; alienation; spy; secret agent
1114,その人,そのひと,2832864,2764518514,exp; n; pn,the person in question; prominent figure; distinguished person; that person
1115,唯一,ゆいいつ,1538920,4241168551,adv; adj-no; n,only; sole; unique
1116,信用,しんよう,1359620,2784150580,n; vs,confidence; trust; faith; reputation; credit (finance)
1117,減る,へる,1263120,4240864470,vi; v5; v5r,to decrease (in size or number); to diminish; to abate
1118,差,さ,1291070,1721089505,n; suf,difference; variation; difference
1119,間に合う,まにあう,1215260,5935335,vi; v5; v5u,"to be in time (for); to serve (suit, meet) the purpose; to be good enough; to be enough; to manage; to make do"
1120,到着,とうちゃく,1449870,1652577776,adj-no; n; vs,arrival
1121,面,つら,1584690,2653993115,n,face; mug; surface; cheek meat; cheek; cheeks; surrounding area
1122,寄る,よる,1219680,1261305103,vi; v5; v5r,"to approach; to draw near; to come near; to be close to; to gather (in one place); to come together; to meet; to stop by (while on one's way to another place); to drop by; to make a short visit; to grow old; to grow high (number, etc.); to grow (wrinkly); to lean against; to recline on; to push one's opponent while holding their belt; to decide on a price and come to a deal; to be swayed by (a person); to yield to"
1123,額,がく,1207500,2644246070,n; suf,(picture) frame; framed picture; amount (esp. of money); sum
1124,含む,ふくむ,1216880,3566388804,vt; v5; v5m,"to contain; to comprise; to have; to hold; to include; to embrace; to hold in the mouth; to bear in mind; to understand; to harbor (grudge, etc.); to harbour; to express (emotion, etc.); to imply"
1125,時には,ときには,1315860,2963573620,adv; exp,at times; occasionally
1126,対応,たいおう,1409840,3337990295,n; vs,"correspondence (to); equivalence; suitability; coordination; matching; being appropriate (for); dealing with; coping with; handling; response; reception; reaction; compatibility (with technology, software, etc.); capability; support (for)"
1127,価値,かち,1189600,3121573537,n,value; worth; merit
1128,まとめる,まとめる,1440930,952289057,vt; v1,to collect; to put (it all) together; to integrate; to consolidate; to unify; to summarize; to aggregate; to bring to a conclusion; to finalize; to settle; to put in order; to establish; to decide
1129,すべき,すべき,1006200,3681529994,exp,should do; ought to do
1130,有名,ゆうめい,1541620,3367790214,adj-na; n,famous; fame
1131,安全,あんぜん,1153930,1602420017,adj-na; n,safety; security
1132,下,した,1184140,1737110990,n; adj-no,below; down; under; younger (e.g. daughter); bottom; beneath; underneath; just after; right after; inferiority; one's inferior (i.e. one's junior); trade-in; preliminary; preparatory
1133,反対,はんたい,1480670,957121146,adj-na; adj-no; n; vs,opposition; resistance; antagonism; hostility; objection; dissent; reverse; opposite; inverse; contrary
1134,正確,せいかく,1376760,3448798090,adj-na; n,accurate; correct; precise; exact
1135,ぶり,ぶり,1361140,504024918,suf,style; manner; way; after (period of time) again (e.g. meeting again after a year); for the first time in (period of time)
1136,際,きわ,1296290,2655026675,n; suf,edge; brink; verge; side; time; moment of
1137,ついてる,ついてる,1894260,3693979653,exp; v1,to be lucky; to be in luck; to be attached; to have; to be included; to come with; to contain; to be in a state
1138,活動,かつどう,1208360,1889631399,n; vs,"activity (of a person, organization, animal, volcano, etc.); action; movie (esp. during the silent movie period)"
1139,時期,じき,1316040,1099165169,adv; n,time; season; period; phase; stage
1140,切れる,きれる,1384860,1595945698,vi; v1; aux-v,"to break; to snap; to be cut; to split; to crack; to be injured; to wear out; to be worn out; to break; to burst; to collapse; to wear off; to stop working; to go dead; to expire (time limit, etc.); to run out; to become due; to run out (of stock, etc.); to be exhausted; to be used up; to be sold out; to be out of; to be broken off (e.g. of a relationship); to break up; to have severed ties; to be cut off; to be disconnected; to cut well; to be sharp; to be sharp-minded; to be keen; to be shrewd; to be quick-witted; to be able; to be short of; to drop under (a certain figure); to beat (e.g. a record time); to dry off; to curve; to veer; to shuffle (cards); to get angry; to snap; to blow one's top; to lose one's temper; to flip; to be able to do completely"
1141,午後,ごご,1268990,2809757434,adv; n,afternoon; p.m.
1142,気,げ,2006580,1960667060,suf,seeming; giving the appearance of; giving one the feeling of
1143,以来,いらい,1155210,2610597629,adv; n,since; henceforth
1144,完成,かんせい,1211490,590227268,n; vs,complete; completion; perfection; accomplishment
1145,大きくなる,おおきくなる,2840112,2186130981,exp; v5; v5r,to grow up; to become an adult; to become big; to grow in size
1146,なり,なり,2029070,4283028586,prt,or something; for instance ... (though there are other suitable options); ... or ...; as soon as; right after; while still; with previous state still in effect
1147,狭い,せまい,1237680,3385255122,adj-i,narrow; confined; small; cramped; limited; narrow-minded; confining
1148,たった,,,,,
1149,至る,いたる,1311870,1536129181,vi; v5; v5r,to arrive at (e.g. a decision); to reach (a stage); to attain; to lead to (a place); to get to; in the extreme case of; to come; to arrive; to result in
1150,降る,くだる,1184450,2997417532,vi; v5; v5r,"to descend; to go down; to come down; to be handed down (of an order, judgment, etc.); to pass (of time); to surrender; to capitulate; to be less than; to be inferior to; to have the runs; to have diarrhea; to pass (in stool); to be discharged from the body; to depreciate oneself; to be humble"
1151,新,しん,1361480,1955718935,pref; n,"new; neo-; newness; novelty; Gregorian calendar; Xin dynasty (China, 9-23 CE); Hsin dynasty"
1152,最後まで,さいごまで,1293830,25993805,exp,to the end; to the last
1153,貸す,かす,1411160,2438708848,vt; v5; v5s,to lend; to loan; to rent out; to hire out
1154,でもある,でもある,2098230,3200236335,v5; v5r-i,to also be (implies that as well as the earlier stated this is also the case); to be ... or something
1155,信頼,しんらい,1359730,2657992750,n; vs,reliance; trust; faith; confidence
1156,出かける,でかける,1598550,4186166701,vi; v1,to go out (e.g. on an excursion or outing); to leave; to depart; to start; to set out; to be about to leave; to be just going out
1157,不満,ふまん,1494970,3254653644,adj-na; n,dissatisfaction; discontent; displeasure; complaint; unhappiness
1158,一生,いっしょう,1576200,1850420789,adv; adj-no; n,"whole life; a lifetime; all through life; one existence; a generation; an age; the whole world; the era; (the only, the greatest, etc.) of one's life"
1159,全体,ぜんたい,1395660,4170668427,adv; n,whole; entirety; whatever (is the matter)
1160,といえば,といえば,1008850,954659337,exp,speaking of ...; when it comes to ...; as for ...; if one were to say ...
1161,複雑,ふくざつ,1501350,3568460853,adj-na; n,complex; complicated; intricate; mixed (feelings)
1162,よる,よる,1168660,2195601894,vi; v5; v5r,"to be due to; to be caused by; to depend on; to turn on; to be based on; to come from; to be based at (a location, an organization); to be headquartered at"
1163,違い,,,,,
1164,含める,,,,,
1165,病気,びょうき,1490230,2530078889,adj-no; n,"illness (usu. excluding minor ailments, e.g. common cold); disease; sickness; bad habit; bad behaviour; weakness; failing; crazy; insane; disturbed; sick in the head"
1166,代,だい,1982860,1736554625,n; suf; ctr,"charge; cost; price; generation; age; (school) year; cohort; reign; era; a representative of; on behalf of; for (someone); switchboard number; counter for decades of ages, eras, etc.; counter for generations (of inheritors to a throne, etc.); proxy application company; pronoun"
1167,ままに,ままに,2409100,1757826886,exp,"as (e.g. ""do as one is told"", ""as we age we gain wisdom""); wherever (e.g. ""wherever my fancy took me"")"
1168,育てる,,,,,
1169,少しでも,すこしでも,2849629,2668186354,exp,even a little; any at all; if only a little; no matter how little
1170,にくい,にくい,2772730,1931496801,adj-i; suf,difficult to ...; hard to ...
1171,保つ,たもつ,1513250,1581408125,vt; v5; v5t; vi,to keep; to preserve; to hold; to retain; to maintain; to sustain; to last; to endure; to keep well (food); to wear well; to be durable
1172,通す,とおす,1432900,70932861,vt; v5; v5s,"to stick through; to force through; to spread throughout; to thoroughly diffuse; to make a path between two points; to proceed in a logical manner; to let pass; to allow through; to lead (someone) into (a house, room, etc.); to show in; to go through (a middleman); to (look, listen) through (a window, wall, etc.); to pass (a law, applicant, etc.); to force to accept; to force agreement; to continue (in a state); to persist in; to do to the entirety of; to cover all of; to span the whole ...; to do from beginning to end without a break; to convey (one's ideas, etc.) to the other party; to do to the end; to carry through; to complete"
1173,役に立つ,やくにたつ,1537980,2885165226,exp; v5; v5t,to be helpful; to be useful
1174,回,かい,1199330,1715926925,ctr; n; suf,counter for occurrences; a time; an instance; inning (baseball); round; game; episode; chapter; instalment; Hui (people); Islam
1175,比べる,くらべる,1483540,1932174713,vt; v1,to compare; to make a comparison; to compete; to vie
1176,限る,かぎる,1264640,3763394705,vt; v5; v5r; vi,to restrict; to limit; to confine; to be restricted to; to be limited to; to be confined to; to be best (for); to be the best plan; to be the only way (to)
1177,このよう,このよう,1725380,1267172691,adj-na,like this; this sort; this way
1178,学ぶ,まなぶ,1206530,2861647359,v5; v5b,to study (in depth); to learn; to take lessons in
1179,対象,たいしょう,1410120,2424995765,adj-no; n,"target; object (of worship, study, etc.); subject (of taxation, etc.)"
1180,度,たび,1445150,1721679800,ctr; n; suf,"time (three times, each time, etc.); times"
1181,そのうち,そのうち,1006930,613641727,adv; exp,before very long; soon; someday; one of these days; sooner or later; of the previously mentioned; of that number; among them; among others
1182,加える,くわえる,1189960,1623686920,vt; v1,to add; to add up; to sum up; to append; to annex; to increase; to gather (e.g. speed); to pick up; to include; to count in; to let join; to inflict (damage); to deal; to give
1183,最大,さいだい,1294180,4212197417,adj-no; n,biggest; greatest; largest; maximum
1184,世の中,よのなか,1373850,1408791412,exp; n,society; the world; the times
1185,亡くなる,なくなる,1518540,2420882131,vi; v5; v5r,to die
1186,及ぶ,およぶ,1228170,3132482557,vi; v5; v5b,"to reach; to amount to; to befall; to happen to; to extend; to go on (for, until); to be up to the task; to come up to; to compare with; to be a match (for); to commit (a crime); to require (to do)"
1187,人気,にんき,1367010,3499774718,adj-no; n,popularity; public favor; condition (e.g. market); tone; character; nature
1188,種類,しゅるい,1328890,3926911404,n; ctr,"variety; kind; type; category; counter for kinds, species, etc."
1189,将来,しょうらい,1347710,1749913970,adv; n,future (usually near); prospects
1190,半,はん,1478750,1713267335,n; suf,half; semi-; half-past; odd number; unit of land area (595.8 m^2)
1191,苦しむ,くるしむ,1244350,754838270,vi; v5; v5m,to suffer; to groan; to be worried
1192,とる,とる,2021030,3980866919,vt; v5; v5r,to have (e.g. lunch); to take (e.g. vitamins)
1193,訴える,うったえる,1397720,2871027965,vt; v1,"to raise; to bring to (someone's attention); to appeal to (reason, emotions, etc.); to work on (one's emotions); to play on (one's sympathies); to complain; to sue (a person); to take someone to court; to resort to (e.g. arms, violence)"
1194,ずつ,ずつ,2006560,3662160107,suf,apiece; each; at a time; piecemeal
1195,たつ,たつ,1251100,2519777078,vi; v5; v5t,to pass (of time); to elapse
1196,関する,かんする,1215790,2423914771,vs,to concern; to be related
1197,決定,けってい,1254380,2546677149,n; vs,decision; determination
1198,なくす,なくす,1529530,2329919593,vt; v5; v5s,to lose (something); to mislay; to get rid of; to eliminate; to remove
1199,分ける,わける,1503000,3692908233,vt; v1,to divide (into); to split (into); to part; to separate; to divide up; to classify; to sort out; to divide out; to share; to distribute; to deal out; to dish out; to distinguish; to discriminate; to differentiate (between); to break up (a fight); to mediate; to call a draw; to tie; to push one's way through (a crowd); to sell
1200,いわゆる,いわゆる,1343150,2929592162,adj-pn,what is called; as it is called; the so-called; so to speak
1201,年,ねん,2084840,1721599325,n; ctr,"year; counter for years (e.g. of an era), grades (e.g. school); period of an apprentice's contract (usu. ten years)"
1202,にかけて,にかけて,2034300,3009837908,exp,"till; to; over (a period); through (e.g. Monday through Thursday); about (approx. time or place); on; concerning (an area of expertise); swearing by (one's sword, God, etc.)"
1203,視線,しせん,1312060,2941500005,n,one's line of sight; one's gaze; one's eyes (looking); glance; gaze; look
1204,嬉しい,うれしい,1219510,2426907732,adj-i,happy; glad; pleased; delighted; overjoyed; joyful; delightful; gratifying; pleasant
1205,ねえ,ねえ,2029080,3545239700,prt; int,"right?; isn't it?; doesn't it?; don't you?; don't you think?; hey; say; listen; look; come on; you know; you see; I must say; I should think; will you?; please; so, ...; well, ...; you see, ...; you understand?; I'm not sure if ...; I have my doubts about whether ..."
1206,出来る,できる,1340450,2257572231,vi; v1,to be able (in a position) to do; to be up to the task; to be ready; to be completed; to be made; to be built; to be good at; to be permitted (to do); to become intimate; to take up (with somebody); to grow; to be raised; to become pregnant
1207,ダメ,ダメ,1409110,748966274,adj-na; n,no good; not serving its purpose; useless; broken; hopeless; wasted; in vain; purposeless; cannot; must not; not allowed; neutral point (in go); intersection owned by neither player at the end of a game
1208,見つめる,みつめる,1604580,439001162,vt; v1,to stare at; to gaze at; to look hard at; to watch intently; to fix one's eyes on
1209,全て,すべて,1595730,324644621,adj-no; n; adv,everything; all; the whole; entirely; completely; wholly; all
1210,少女,しょうじょ,1580290,3817642338,n,little girl; maiden; young lady; female usually between 7 and 18 years old; female between 17 and 20 years old (ritsuryo period)
1211,扉,とびら,1483380,1956044315,n,door; gate; opening; title page
1212,もしかして,もしかして,1012520,1565457737,adv,perhaps; possibly; maybe; by any chance; if I'm not mistaken; if; in case; in the event that
1213,俺たち,おれたち,1863230,1548990038,n,we; us
1214,瞳,ひとみ,1453900,1830389345,adj-no; n,pupil (of eye); eye
1215,ありがとうございます,ありがとうございます,1541040,861519807,exp,thank you
1216,皆,みんな,1202150,1831039670,adv; n; pn,everyone; everybody; all; everything; all
1217,先輩,せんぱい,1388410,1276904568,n,senior (at work or school); superior; elder; older graduate; progenitor; old-timer
1218,奴,やつ,1445640,1717811345,n; pn,fellow; guy; chap; thing; object; he; she; him; her
1219,五,ご,1268060,1736737325,num,five; 5
1220,あれ,あれ,1000580,2007967152,pn; n,that; that thing; that person; then; that time; that place (over there); down there (i.e. one's genitals); period; menses
1221,慌てる,あわてる,1278830,3874621976,vi; v1,"to become confused (disconcerted, disorganized, disorganised); to be flustered; to panic; to hurry; to rush; to hasten"
1222,街,がい,1204570,2786746415,suf,street; quarter; district; area
1223,というか,というか,2206220,2052823198,conj; exp,"or rather (say); or better (say); or perhaps I should say; or, how should I put it; I mean"
1224,攻撃,こうげき,1279170,1021474125,n; vs,attack; assault; raid; onslaught; offensive; criticism; censure; denunciation; condemnation
1225,なんだか,なんだか,1188350,3865550272,adv,(a) little; somewhat; somehow
1226,達,たち,1416220,2650186865,suf,pluralizing suffix (esp. for people and animals; formerly honorific)
1227,妹,いもうと,1524590,1717894865,n,younger sister
1228,立ち上がる,たちあがる,1551370,1971379553,vi; v5; v5r,to stand up; to get up; to rise; to recover; to take action; to start; to make the initial charge; to start up; to boot up
1229,君,きみ,1247250,1713830225,pn; n,you; buddy; pal; monarch; ruler; sovereign; (one's) master; he; she
1230,唇,くちびる,1359940,1714588865,n,lips
1231,震える,ふるえる,1366310,1345205535,vi; v1,to shiver; to shake; to quake; to tremble; to quaver; to quiver
1232,浮かべる,うかべる,1497360,2210789428,vt; v1,"to float; to set afloat; to launch; to show on one's face (smile, sadness, etc.); to recall; to call to mind; to imagine; to think of"
1233,可愛い,かわいい,1577200,3616536919,adj-i,cute; adorable; charming; lovely; pretty; dear; precious; darling; pet; innocent; childlike; childish; lovable; dainty; little; tiny
1234,気付く,きづく,1591330,3747610012,vi; v5; v5k,to notice; to recognize; to recognise; to become aware of; to perceive; to realize; to realise
1235,両手,りょうて,1553660,2749157358,n,both hands; both arms; ten
1236,三人,さんにん,1301000,306612224,n,three people
1237,身体,からだ,1409140,3681236780,n,body; torso; trunk; build; physique; frame; figure; health; constitution; corpse; dead body
1238,眺める,ながめる,1428830,594472506,vt; v1,to look at; to gaze at; to watch; to stare at; to look out over; to get a view of; to admire (e.g. the scenery); to look on (from the sidelines); to stand by and watch; to observe
1239,床,ゆか,1349380,1721664140,n,floor; stage (for the narrator and the shamisen player); dining platform built across a river
1240,すみません,すみません,1295060,2037307996,exp; int,excuse me; pardon me; I'm sorry; I beg your pardon; thank you
1241,ドア,ドア,1087820,3945703495,n,"door (Western-style, car, etc.)"
1242,お母さん,おかあさん,1002650,149025526,n,mother; mom; mum; ma; wife
1243,何だ,なんだ,2119750,2294650595,int,what!; oh; what the heck; what the; damn
1244,ベッド,ベッド,1119650,4089331718,n,bed
1245,森,もり,1362490,1963884320,n,forest; shrine grove
1246,少年,しょうねん,1349170,3821428143,n,boy; juvenile; young boy; youth; lad
1247,やがる,やがる,1012740,3737327126,aux-v; v5; v5r,to have the nerve to
1248,そりゃ,そりゃ,2134680,3604043513,adv; exp,very; extremely; that is
1249,倒す,たおす,1445770,4175667849,vt; v5; v5s,to throw down; to bring down; to blow down; to fell; to knock down; to set (something) down on its side; to turn (something) on its side; to recline (e.g. a seat); to kill; to defeat; to beat; to overthrow; to trip up; to ruin; to leave unpaid; to cheat
1250,わけじゃない,わけじゃない,2234750,4128552004,exp,it does not mean that ...; I don't mean that ...; it is not the case that
1251,構う,かまう,1279680,1308750735,v5; v5u; vi; vt,to mind; to care about; to be concerned about; to have a regard for; to be an issue; to matter; to create inconvenience; to keep company; to care for; to look after; to entertain; to pay attention to; to spend time with; to interfere with; to meddle in; to tease; to banish; to prohibit
1252,響く,ひびく,1238610,4279487635,vi; v5; v5k,to resound; to be heard far away; to reverberate; to shake; to vibrate; to come (home); to remain (with someone); to have an effect; to make an impression
1253,あの子,あのこ,2707760,3919020633,pn,that child; that kid; that boy; that girl; that young lady; you
1254,笑み,えみ,1351370,4225257018,n,smile
1255,振り返る,ふりかえる,1361290,2566460006,vi; v5; v5r; vt,to turn one's head; to look over one's shoulder; to turn around; to look back; to think back (on); to reminisce; to look back (on); to reflect (on)
1256,謝る,あやまる,1323010,119734298,v5; v5r,to apologize; to apologise
1257,やがて,やがて,1012730,3736779026,adv,before long; soon; shortly; almost; nearly; finally; in the end; eventually
1258,仕方ない,しかたない,1305440,2054747912,adj-i,"there's no (other) way; cannot be helped; unavoidable; inevitable; (there's) nothing one can do; having no choice; it's no use (doing); pointless; useless; no good; insufficient; not enough; hopeless (person); annoying; troublesome; awful; cannot stand it; unbearable; cannot help (doing, feeling); dying (to do)"
1259,我々,われわれ,1607050,2208184328,pn,we
1260,口にする,くちにする,1275750,3270088408,exp; vs,to taste; to eat; to drink; to speak (of); to refer (to); to say
1261,ふと,ふと,1493240,1549459932,adv,suddenly; casually; accidentally; incidentally; unexpectedly; unintentionally
1262,肉,にく,1463520,2780378450,n,flesh; meat; flesh (of a fruit); pulp; the physical body (as opposed to the spirit); flesh; thickness; content; substance; flesh; ink pad
1263,地面,じめん,1421510,1940579244,adj-no; n,ground; earth's surface
1264,叩く,たたく,1416170,321341553,vt; v5; v5k,to strike; to clap; to knock; to beat; to tap; to pat; to play drums; to abuse; to bash; to flame (e.g. on the Internet); to insult; to consult; to sound out; to brag; to talk big; to call; to invoke (e.g. a function)
1265,バカ,バカ,1601260,469739853,n; adj-na,idiot; moron; fool; trivial matter; folly; absurdity; stupid; foolish; dull; absurd; ridiculous; fervent enthusiast; nut; person singularly obsessed with something; Mactra chinensis (species of trough shell)
1266,えっと,えっと,1001150,329993280,int,let me see; well; errr ...; uhh ...
1267,見上げる,みあげる,1259740,3193103274,vt; v1,to look up at; to raise one's eyes; to look up to; to admire; to respect
1268,何で,なんで,1611020,2294652770,adv,why?; what for?; how?; by what means?
1269,全身,ぜんしん,1395410,850422596,adj-no; n; adj-pn,whole (body); full-length (e.g. portrait); systemic
1270,お父さん,おとうさん,1002590,690426107,n; pn,father; dad; papa; pa; pop; daddy; dada; husband; you; he; him
1271,声をかける,こえをかける,1593080,1964993558,exp; v1,"to greet; to call out (to); to start talking (to); to invite; to get in touch (with); to give a shout (to); to let (somebody) know (one is in the area or has time to meet, etc.); to cheer (on); to give vocal support (to)"
1272,連中,れんちゅう,1559700,3013252508,n,company; lot; bunch; gang; pack; those guys; group; troupe; company (of musicians)
1273,そっか,そっか,2093030,3137092934,exp,is that so? (generally rhetorical)
1274,気配,けはい,1222510,1992271057,n,indication; sign; hint; sensation; feeling; tone (of the market)
1275,戦い,たたかい,1596950,1736143633,n,battle; fight; war; struggle; conflict
1276,告げる,つげる,1285990,4087270047,vt; v1,to tell; to inform; to announce; to indicate; to signal; to mark
1277,と共に,とともに,1008830,2858372925,exp,"together with; as X, then Y (e.g. as we age we gain wisdom, as wine matures it becomes more valuable, etc.)"
1278,そっと,そっと,1006810,3137078579,adv; vs,softly; gently; quietly; lightly; stealthily; secretly; in secret; to leave alone; to leave as it is
1279,取り出す,とりだす,1326770,3689070943,vt; v5; v5s,to take out; to produce; to pick out; to fetch; to retrieve
1280,影,かげ,1590145,1722228770,n,"shadow; silhouette; figure; shape; reflection; image; ominous sign; light (stars, moon); trace; shadow (of one's former self)"
1281,廊下,ろうか,1560670,1158409530,n,corridor; hallway; passageway
